kernel_name,strategy,level,M,N,K,target,device,compile_passed,correctness_passed,max_abs_error,mean_abs_error,latency_ms_mean,latency_ms_std,num_warmup,num_trials,tuning_time_sec,max_trials_global,max_trials_per_task,num_trials_per_iter,cost_model,task_scheduler,seed,metaschedule_work_dir,scheduled_module_path,error_type,error_message,timestamp,bad_baseline,metaschedule_database_tuning_record,metaschedule_database_workload,num_tuning_cores,post_optimization,schedule_source,target_for_tuning,target_name,generated_schedule_apply_fn,generated_schedule_path,generated_schedule_sha256,generated_search_space_entrypoint,generated_search_space_path,generated_search_space_sha256,used_fallback_schedule,experiment_id,suite_name,run_id,run_kind,benchmark_group,experiment_method,task_name,workload_name,shape,problem_size,selection_role,generation,candidate_id,parent_id,fitness_score,fitness_reason,candidate_path,prompt_path,response_path,evolution_run_dir,evolution_kind,best_fitness_score,best_fitness_reason,best_candidate_id,best_candidate_path,evolution_time_sec,evolution_history_path,evolution_best_path,num_candidates_evaluated,num_compile_failures,num_correct_candidates
matmul_tir,metaschedule,baseline_metaschedule,128,128,128,llvm,cpu:0,True,True,1.33514404296875e-05,1.240877963937237e-06,0.13046839999999998,0.017546523651139564,3,10,59.810262873070315,16,,4,random,gradient,0,results/work_dirs/metaschedule/M128_N128_K128_llvm_2026-05-17T061511.584914Z0000,results/work_dirs/metaschedule/M128_N128_K128_llvm_2026-05-17T061511.584914Z0000/scheduled_module.txt,,,2026-05-17T06:16:11.592263+00:00,False,results/work_dirs/metaschedule/M128_N128_K128_llvm_2026-05-17T061511.584914Z0000/database_tuning_record.json,results/work_dirs/metaschedule/M128_N128_K128_llvm_2026-05-17T061511.584914Z0000/database_workload.json,1,False,tvm.s_tir.meta_schedule.tir_integration.tune_tir,"{""kind"":""llvm"",""tag"":"""",""keys"":[""cpu""],""num-cores"":96,""mcpu"":""generic""}",llvm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matmul_tir,metaschedule,baseline_metaschedule,128,128,128,llvm,cpu:0,True,True,1.33514404296875e-05,1.240877963937237e-06,0.1404962,0.005204855709815598,3,10,69.50722219585441,16,,4,xgb,gradient,0,results/work_dirs/metaschedule/M128_N128_K128_llvm_2026-05-17T061700.201512Z0000,results/work_dirs/metaschedule/M128_N128_K128_llvm_2026-05-17T061700.201512Z0000/scheduled_module.txt,,,2026-05-17T06:18:09.940163+00:00,False,results/work_dirs/metaschedule/M128_N128_K128_llvm_2026-05-17T061700.201512Z0000/database_tuning_record.json,results/work_dirs/metaschedule/M128_N128_K128_llvm_2026-05-17T061700.201512Z0000/database_workload.json,1,False,tvm.s_tir.meta_schedule.tir_integration.tune_tir,"{""kind"":""llvm"",""tag"":"""",""keys"":[""cpu""],""num-cores"":96,""mcpu"":""generic""}",llvm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matmul_tir,fixed,baseline_fixed,128,128,128,llvm,cpu:0,True,True,1.33514404296875e-05,1.240877963937237e-06,2.4752838,0.025198827547328474,3,10,0.0,0,,0,,,,,,,,2026-05-17T06:22:25.807941+00:00,False,,,,,src.kernels.matmul_tir.apply_schedule_for_target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matmul_tir,metaschedule,baseline_metaschedule,128,128,128,cuda,cuda:0,True,True,1.33514404296875e-05,4.5250442326505436e-07,0.0118783,0.0006790337325936025,3,10,406.19887347798795,16,,4,xgb,gradient,0,results/work_dirs/metaschedule/M128_N128_K128_cuda_2026-05-17T062657.083385Z0000,results/work_dirs/metaschedule/M128_N128_K128_cuda_2026-05-17T062657.083385Z0000/scheduled_module.txt,,,2026-05-17T06:33:44.671562+00:00,False,results/work_dirs/metaschedule/M128_N128_K128_cuda_2026-05-17T062657.083385Z0000/database_tuning_record.json,results/work_dirs/metaschedule/M128_N128_K128_cuda_2026-05-17T062657.083385Z0000/database_workload.json,1,False,tvm.s_tir.meta_schedule.tir_integration.tune_tir,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""host"":{""kind"":""llvm"",""tag"":"""",""keys"":[""cpu""],""num-cores"":96,""mcpu"":""generic""},""max_num_threads"":1024,""thread_warp_size"":32,""max_shared_memory_per_block"":49152,""max_threads_per_block"":1024,""arch"":""sm_86""}",cuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matmul_tir,fixed,baseline_fixed,128,128,128,cuda,cuda:0,True,True,1.33514404296875e-05,4.5250442326505436e-07,0.0087033,0.0006871438059096508,3,10,0.0,0,,0,,,,,,,,2026-05-17T06:34:34.779161+00:00,False,,,,,src.kernels.matmul_tir.apply_schedule_for_target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matmul_tir,fixed,baseline_fixed,1024,64,2048,cuda,cuda:0,True,True,0.00030517578125,2.7011694328393787e-05,0.1716219,0.0035827655365652925,3,10,0.0,0,,0,,,,,,,,2026-05-17T06:35:19.122338+00:00,False,,,,,src.kernels.matmul_tir.apply_schedule_for_target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matmul_tir,metaschedule,baseline_metaschedule,1024,64,2048,cuda,cuda:0,True,True,0.00030517578125,2.7011694328393787e-05,0.08028379999999999,0.0004805223824131402,3,10,156.49196977098472,16,,4,xgb,gradient,0,results/work_dirs/metaschedule/M1024_N64_K2048_cuda_2026-05-17T063551.798501Z0000,results/work_dirs/metaschedule/M1024_N64_K2048_cuda_2026-05-17T063551.798501Z0000/scheduled_module.txt,,,2026-05-17T06:38:29.308446+00:00,False,results/work_dirs/metaschedule/M1024_N64_K2048_cuda_2026-05-17T063551.798501Z0000/database_tuning_record.json,results/work_dirs/metaschedule/M1024_N64_K2048_cuda_2026-05-17T063551.798501Z0000/database_workload.json,1,False,tvm.s_tir.meta_schedule.tir_integration.tune_tir,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""host"":{""kind"":""llvm"",""tag"":"""",""keys"":[""cpu""],""num-cores"":96,""mcpu"":""generic""},""max_num_threads"":1024,""thread_warp_size"":32,""max_shared_memory_per_block"":49152,""max_threads_per_block"":1024,""arch"":""sm_86""}",cuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matmul_tir,metaschedule,baseline_metaschedule,1024,64,2048,cuda,cuda:0,True,True,0.00030517578125,2.7011694328393787e-05,0.05825600000000001,0.0008496888842394019,3,10,169.98500206507742,16,,4,random,gradient,0,results/work_dirs/metaschedule/M1024_N64_K2048_cuda_2026-05-17T065140.887456Z0000,results/work_dirs/metaschedule/M1024_N64_K2048_cuda_2026-05-17T065140.887456Z0000/scheduled_module.txt,,,2026-05-17T06:54:31.992792+00:00,False,results/work_dirs/metaschedule/M1024_N64_K2048_cuda_2026-05-17T065140.887456Z0000/database_tuning_record.json,results/work_dirs/metaschedule/M1024_N64_K2048_cuda_2026-05-17T065140.887456Z0000/database_workload.json,1,False,tvm.s_tir.meta_schedule.tir_integration.tune_tir,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""host"":{""kind"":""llvm"",""tag"":"""",""keys"":[""cpu""],""num-cores"":96,""mcpu"":""generic""},""max_num_threads"":1024,""thread_warp_size"":32,""max_shared_memory_per_block"":49152,""max_threads_per_block"":1024,""arch"":""sm_86""}",cuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matmul_tir,metaschedule,baseline_metaschedule,1024,64,2048,cuda,,False,False,,,,,3,10,,,,,,,,,,ModuleNotFoundError,No module named 'torch',2026-05-17T07:01:20.658073+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matmul_tir,fixed,baseline_fixed,256,256,256,llvm,cpu:0,True,True,4.57763671875e-05,2.253069169455557e-06,19.5928808,0.011180875473772221,3,10,0.0,0,,0,,,,,,,,2026-05-19T08:17:02.195605+00:00,False,,,,,src.kernels.matmul_tir.apply_schedule_for_target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
