experiment_id,suite_name,run_id,experiment_method,strategy,level,M,N,K,target,compile_passed,correctness_passed,latency_ms_mean,latency_ms_std,tuning_time_sec,json_result
ckpt2_cpu_search_vs_baseline,checkpoint_2_cpu_search_vs_baseline,matmul_M64_N64_K64_llvm_fixed,fixed,fixed,baseline_fixed,64,64,64,llvm,True,True,0.11921280000000001,0.0016730934104227427,0.0,results/matmul_tir_fixed_M64_N64_K64_llvm_2026-05-23T063912.240309Z0000.json
ckpt2_cpu_search_vs_baseline,checkpoint_2_cpu_search_vs_baseline,matmul_M64_N64_K64_llvm_metaschedule,metaschedule,metaschedule,baseline_metaschedule,64,64,64,llvm,True,True,0.0368415,0.0048195954446405564,21.4374683490023,results/matmul_tir_metaschedule_M64_N64_K64_llvm_2026-05-23T063933.795245Z0000.json
ckpt2_cpu_search_vs_baseline,checkpoint_2_cpu_search_vs_baseline,matmul_M64_N64_K64_llvm_level1-search,level1-search,generated-schedule,level_1_direct_schedule,64,64,64,llvm,True,True,0.22241619999999998,0.004456613059263729,0.0,results/matmul_tir_generated-schedule_M64_N64_K64_llvm_2026-05-23T064008.439946Z0000.json
ckpt2_cpu_search_vs_baseline,checkpoint_2_cpu_search_vs_baseline,matmul_M64_N64_K64_llvm_level2-search,level2-search,generated-search-space,level_2_evolved_search_space,64,64,64,llvm,True,True,0.0557729,0.00900305473103435,8.618257812224329,results/matmul_tir_generated-search-space_M64_N64_K64_llvm_2026-05-23T064241.898319Z0000.json
